like,lk.agec.Mcvt,lk_agec_Mcvt,,kg
like,lk.priors,lk_priors,,kg
like,lk.U.RW,lk_U_RW,,kg
like,lk.SRfit,lk_SRfit,,kg
like,lk.SRearly,lk_SRearly,,kg
like,lk.SRend,lk_SRend,,kg
like,w.L,landings_weight,,kg
like,w.D,discards_weight,,kg
like,w.lc,w_lc,,kg
like,w.lc.D,w_lc_D,,kg
like,w.ac,w_ac,,kg
like,w.ac.Mcvt,w_ac_Mcvt,,kg
like,w.U,w_U,,kg
like,w.R,w_R,,kg
like,w.R.init,w_R_init,,kg
like,w.R.end,w_R_end,,kg
like,gradient.max,gradient_max,,kg
sel.parms,selpar.D,selectivity_parameter_discard,,kg
sel.parms,selpar.A50.d,selectivity_parameter_A50_discard,,kg
sel.parms,selpar.slope.d,selectivity_parameter_slope_discard,,kg
sel.parms,selpar.A502.d,selectivity_parameter_A50_2_discard,,kg
sel.parms,selpar.slope2.d,selectivity_parameter_slope_2_discard,,kg
parm.tvec,log.rec.dev,log_recruitment_deviations,,kg
parm.tvec.cons,log.rec.dev,log_recruitment_deviations,,kg
parm.tvec,log.F.dev,log_F_deviations,,
parm.tvec.cons,log.F.dev,log_F_deviations,,
,log.F.dev.cP,log_F_dev_cP,,
,log.F.dev.cT,log_F_dev_cT,,
parm.tvec,log.F.dev.D,log_F_deviations_discard,,
parm.tvec.cons,log.F.dev.D,log_F_deviations_discard,,
parm.avec,log.Nage.dev,log_abundance_deviations,,kg
parm.avec.cons,log.Nage.dev,log_abundance_deviations,,kg
N.age,N.age,abundance,,kg
N.age.mdyr,N.age.mdyr,abundance_midyear,,kg
N.age.spawn,N.age.spawn,abundance_spawning,,kg
B.age,B.age,biomass,,kg
F.age,F.age,fishing_mortality,,
Z.age,Z.age,total_mortality,,
L.age.pred.knum,L.age.pred.knum,landings_predicted_numbers,,kg
L.age.pred.klb,L.age.pred.klb,landings_predicted_weight,,kg
size.age.fishery,len.mm,length,,mm
,len.cP.mm,length,,kg
,len.cT.mm,len_cT_mm,,mm
,len.D.mm,len_D_mm,,mm
a.series,wgt.klb,weight,,kg
,wgt.cP.klb,wgt_cP_klb,,kg
,wgt.cT.klb,wgt_cT_klb,,kg
,wgt.D.klb,wgt_D_klb,,kg
sel.age,sel.v.wgted.L,selectivity_weighted_landing,,
sel.age,sel.v.wgted.D,selectivity_weighted_discard,,
sel.age,sel.v.wgted.tot,selelectivity_weighted,,
sel.age,sel.v,selectivity,,
sel.age,sel.v.Mcvt,selectivity_v_Mcvt,,
sel.age,sel.m,selectivity,,
sel.age,sel.m.D,selectivity_discard,,
comp.mats,lcomp.ob,length_composition_expected,,
,lcomp.pr,length_composition_predicted,,
,lcomp.D.ob,length_composition_discard_observed,,kg
,lcomp.D.pr,length_composition_discard_predicted,,kg
,acomp.ob,age_composition_observed,,kg
,acomp.pr,age_composition_predicted,,kg
,acomp.Mcvt.ob,age_composition_observed,,kg
,acomp.Mcvt.pr,age_composition_predicted,,kg
sdnr,sdnr.U,sdnr_U,,kg
t.series,F.Fmsy,F_F_msy,,
t.series,F.full,fishing_mortality_full,,
t.series,F,fishing_mortality,,
