module_name,label,alt_label,unit
AGE_SELEX,sel_nums,,kg
AGE_SELEX,sel*ret_nums,,kg
AGE_SELEX,Aret,retention,kg
PARAMETERS,NatM_uniform,natural_mortality_uniform,
PARAMETERS,L_at_Amin,length_at_age_min,cm
PARAMETERS,L_at_Amax,length_at_age_max,cm
PARAMETERS,VonBert_K,k,kg
PARAMETERS,SD_young,sd_young,kg
PARAMETERS,SD_old,sd_old,kg
PARAMETERS,Wtlen,weight_length,kg
PARAMETERS,Mat50%,maturity_50,kg
PARAMETERS,Mat_slope,maturity_slope,kg
PARAMETERS,Eggs_scalar,eggs_scalar,kg
PARAMETERS,Eggs_exp_len,eggs_exp_len,kg
PARAMETERS,CohortGrowDev,cohort_grow_dev,kg
PARAMETERS,FracFemale,proportion_female,
PARAMETERS,SR_LN(R0),ln_recruitment_unfished,kg
PARAMETERS,SR_BH_steep,beverton_holt_steepness,kg
PARAMETERS,SR_sigmaR,sigma_recruitment,kg
PARAMETERS,SR_regime,sr_regime,kg
PARAMETERS,SR_autocorr,sr_autocorrelation,kg
PARAMETERS,initial_age,,kg
PARAMETERS,recruitment_deviations,,kg
PARAMETERS,ForeRecr,recruitment,kg
PARAMETERS,LnQ_base,ln_catchability_base,kg
PARAMETERS,Q_extraSD,catchability_extra_sd,kg
PARAMETERS,Size_DblN_peak,,kg
PARAMETERS,Size_DblN_top_logit,,kg
PARAMETERS,Size_DblN_ascend_se,,kg
PARAMETERS,Size_DblN_descend_se,,kg
PARAMETERS,Size_DblN_start_logit,,kg
PARAMETERS,Size_DblN_end_logit,,kg
PARAMETERS,Retain_L_infl,,kg
PARAMETERS,Retain_L_width,,kg
PARAMETERS,Retain_L_asymptote_logit,,kg
PARAMETERS,Retain_L_maleoffset,,kg
PARAMETERS,SzSel_Male_Peak,,kg
PARAMETERS,SzSel_Male_Ascend,,kg
PARAMETERS,SzSel_Male_Descend,,kg
PARAMETERS,SzSel_Male_Final,,kg
PARAMETERS,SzSel_Male_Scale,,kg
PARAMETERS,Retain_L_infl,,kg
PARAMETERS,Retain_L_width,,kg
PARAMETERS,Retain_L_asymptote_logit,,kg
PARAMETERS,Retain_L_infl,,kg
PARAMETERS,Retain_L_width,,kg
PARAMETERS,Retain_L_asymptote_logit,,kg
FIT_LEN_COMPS,part,,kg
FIT_LEN_COMPS,nsamp_in,,kg
FIT_LEN_COMPS,nsamp_adj,,kg
FIT_LEN_COMPS,nsamp_dm,,kg
